user_id,created_at,country,device_model,app_platform,app_version,age_group,gender,acquisition_source,notification_enabled,last_sync_date,calibration_complete,is_active
u000021,2023-02-06 00:00:00,UK,PeakPulse 3.0,iOS,4.1.5,55-64,Male,YouTube Ad,True,2023-06-30 00:00:00,True,True
u000022,2023-01-22 00:00:00,USA,PeakPulse 3.0,iOS,4.2.1,18-24,Male,Referral,True,2023-06-27 00:00:00,True,True
u000023,2023-01-18 00:00:00,UK,PeakPulse 3.0,Android,4.2.0,35-44,Female,Podcast Sponsor,True,2023-06-30 00:00:00,True,True
u000024,2023-02-25 00:00:00,USA,PeakPulse 3.0,iOS,4.2.0,35-44,Female,Podcast Sponsor,True,2023-06-24 00:00:00,True,True
u000025,2023-01-21 00:00:00,India,PeakPulse 3.0,iOS,4.2.1,25-34,Male,Podcast Sponsor,False,2023-06-23 00:00:00,True,True
u000026,2023-04-06 00:00:00,USA,PeakPulse 3.0,iOS,4.2.0,35-44,Male,YouTube Ad,False,2023-06-28 00:00:00,True,True
u000027,2023-01-17 00:00:00,USA,PeakPulse 3.0,Android,4.1.5,55-64,Male,Direct Website,True,2023-04-10 00:00:00,True,False
u000028,2023-02-13 00:00:00,USA,PeakPulse 3.0,iOS,4.2.0,55-64,Male,Instagram Ad,True,2023-06-25 00:00:00,True,True
u000029,2023-03-20 00:00:00,USA,PeakPulse 3.0,Android,4.1.5,18-24,Female,Instagram Ad,True,2023-06-23 00:00:00,True,True
u000030,2023-01-19 00:00:00,USA,PeakPulse 3.0,iOS,4.1.5,55-64,Male,Instagram Ad,True,2023-06-29 00:00:00,True,True
u000031,2023-01-19 00:00:00,USA,PeakPulse 3.0,iOS,4.2.0,25-34,Female,Facebook Ad,True,2023-04-01 00:00:00,True,False
u000032,2023-03-28 00:00:00,USA,PeakPulse 3.0,iOS,4.2.0,25-34,Female,Referral,True,2023-06-29 00:00:00,True,True
u000033,2023-02-10 00:00:00,Australia,PeakPulse 3.0,iOS,4.1.5,45-54,Male,Referral,True,2023-04-20 00:00:00,True,False
u000034,2023-05-04 00:00:00,Japan,PeakPulse 3.0,Android,4.1.5,35-44,Male,Facebook Ad,False,2023-06-26 00:00:00,True,True
u000035,2023-04-13 00:00:00,USA,PeakPulse 3.0,Android,4.1.9,25-34,Female,Organic Search,True,2023-06-28 00:00:00,True,True
u000036,2023-03-28 00:00:00,USA,PeakPulse 3.0,Android,4.1.5,35-44,Male,Organic Search,True,2023-06-18 00:00:00,True,False
u000037,2023-01-22 00:00:00,USA,PeakPulse 3.0,Android,4.1.5,25-34,Non-binary,Podcast Sponsor,True,2023-06-28 00:00:00,True,True
u000038,2023-02-07 00:00:00,USA,PeakPulse 3.0,iOS,4.1.5,55-64,Female,Facebook Ad,True,2023-06-25 00:00:00,True,True
u000039,2023-03-25 00:00:00,USA,PeakPulse 3.0,iOS,4.1.9,35-44,Female,Referral,True,2023-06-24 00:00:00,True,True
u000040,2023-01-31 00:00:00,UK,PeakPulse 3.0,Android,4.1.9,55-64,Female,Podcast Sponsor,True,2023-05-25 00:00:00,True,False
u000041,2023-03-19 00:00:00,USA,PeakPulse 3.0,iOS,4.2.1,35-44,Male,Referral,True,2023-06-24 00:00:00,True,True
u000042,2023-02-04 00:00:00,Germany,PeakPulse 3.0,iOS,4.1.5,65+,Male,Podcast Sponsor,True,2023-06-24 00:00:00,True,True
u000043,2023-03-14 00:00:00,USA,PeakPulse 3.0,iOS,4.1.5,25-34,Female,Facebook Ad,True,2023-06-30 00:00:00,False,True
u000044,2023-03-05 00:00:00,UK,PeakPulse 3.0,Android,4.1.5,35-44,Female,Referral,True,2023-06-25 00:00:00,True,True
u000045,2023-01-21 00:00:00,Brazil,PeakPulse 3.0,iOS,4.2.1,25-34,Female,Facebook Ad,True,2023-06-26 00:00:00,True,True
u000046,2023-02-22 00:00:00,Canada,PeakPulse 3.0,Android,4.1.5,35-44,Female,Podcast Sponsor,True,2023-06-24 00:00:00,False,True
u000047,2023-02-01 00:00:00,USA,PeakPulse 3.0,Android,4.1.9,45-54,Male,Podcast Sponsor,True,2023-06-23 00:00:00,True,True
u000048,2023-03-10 00:00:00,Brazil,PeakPulse 3.0,Android,4.2.1,45-54,Female,YouTube Ad,False,2023-06-25 00:00:00,True,True
u000049,2023-03-06 00:00:00,USA,PeakPulse 3.0,Android,4.2.1,35-44,Non-binary,Podcast Sponsor,True,2023-06-29 00:00:00,True,True
u000050,2023-03-06 00:00:00,USA,PeakPulse 3.0,iOS,4.1.9,25-34,Female,Instagram Ad,True,2023-06-30 00:00:00,True,True
u000051,2023-04-30 00:00:00,India,PeakPulse 3.0,iOS,4.2.0,55-64,Male,Instagram Ad,False,2023-06-23 00:00:00,True,True
u000052,2023-02-15 00:00:00,Brazil,PeakPulse 3.0,iOS,4.2.0,25-34,Male,Instagram Ad,True,2023-06-24 00:00:00,True,True
u000053,2023-03-05 00:00:00,Germany,PeakPulse 3.0,Android,4.1.9,35-44,Female,Instagram Ad,True,2023-04-18 00:00:00,True,False
u000054,2023-03-03 00:00:00,Australia,PeakPulse 3.0,Android,4.2.1,35-44,Male,Organic Search,False,2023-06-13 00:00:00,True,False
u000055,2023-04-20 00:00:00,France,PeakPulse 3.0,iOS,4.2.1,18-24,Male,Referral,False,2023-06-24 00:00:00,True,True
u000056,2023-01-25 00:00:00,USA,PeakPulse 3.0,Android,4.1.5,35-44,Male,Organic Search,True,2023-06-25 00:00:00,True,True
u000057,2023-04-12 00:00:00,Canada,PeakPulse 3.0,iOS,4.1.9,65+,Female,Instagram Ad,True,2023-05-26 00:00:00,True,False
u000058,2023-02-12 00:00:00,USA,PeakPulse 3.0,iOS,4.2.0,25-34,Female,YouTube Ad,True,2023-04-25 00:00:00,True,False
u000059,2023-02-19 00:00:00,France,PeakPulse 3.0,iOS,4.1.5,55-64,Male,Referral,False,2023-06-24 00:00:00,True,True
u000060,2023-01-19 00:00:00,Canada,PeakPulse 3.0,iOS,4.1.9,35-44,Male,YouTube Ad,True,2023-05-06 00:00:00,True,False
u000061,2023-02-16 00:00:00,Germany,PeakPulse 3.0,Android,4.1.9,45-54,Male,Podcast Sponsor,True,2023-06-25 00:00:00,True,True
u000062,2023-01-06 00:00:00,USA,PeakPulse 3.0,Android,4.2.0,55-64,Female,Direct Website,True,2023-06-23 00:00:00,True,True
u000063,2023-01-21 00:00:00,USA,PeakPulse 3.0,Android,4.2.0,25-34,Male,Referral,True,2023-06-09 00:00:00,True,False
u000064,2023-02-02 00:00:00,USA,PeakPulse 3.0,iOS,4.2.1,25-34,Female,Organic Search,True,2023-06-26 00:00:00,True,True
u000065,2023-01-14 00:00:00,USA,PeakPulse 3.0,Android,4.2.1,25-34,Male,Facebook Ad,False,2023-06-25 00:00:00,True,True
u000066,2023-01-06 00:00:00,USA,PeakPulse 3.0,Android,4.2.0,18-24,Male,Referral,True,2023-06-23 00:00:00,True,True
u000067,2023-04-01 00:00:00,Germany,PeakPulse 3.0,Android,4.1.5,18-24,Female,YouTube Ad,True,2023-06-23 00:00:00,True,True
u000068,2023-03-17 00:00:00,USA,PeakPulse 3.0,iOS,4.2.0,35-44,Male,Referral,True,2023-06-23 00:00:00,True,True
u000069,2023-04-23 00:00:00,USA,PeakPulse 3.0,iOS,4.1.9,18-24,Female,Direct Website,True,2023-06-27 00:00:00,True,True
u000070,2023-01-20 00:00:00,Germany,PeakPulse 3.0,iOS,4.1.5,18-24,Female,Direct Website,False,2023-06-27 00:00:00,True,True
u000071,2023-02-11 00:00:00,UK,PeakPulse 3.0,Android,4.1.5,35-44,Male,Podcast Sponsor,False,2023-06-30 00:00:00,True,True
u000072,2023-03-07 00:00:00,Australia,PeakPulse 3.0,iOS,4.1.9,55-64,Male,Direct Website,True,2023-06-24 00:00:00,True,True
u000073,2023-02-18 00:00:00,USA,PeakPulse 3.0,Android,4.2.1,18-24,Male,Instagram Ad,False,2023-05-14 00:00:00,True,False
u000074,2023-01-22 00:00:00,UK,PeakPulse 3.0,iOS,4.1.9,18-24,Male,Instagram Ad,True,2023-06-26 00:00:00,True,True
u000075,2023-02-13 00:00:00,USA,PeakPulse 3.0,Android,4.1.9,25-34,Male,YouTube Ad,True,2023-06-30 00:00:00,True,True
u000076,2023-02-16 00:00:00,India,PeakPulse 3.0,iOS,4.1.5,35-44,Female,Direct Website,True,2023-04-11 00:00:00,True,False
u000077,2023-02-20 00:00:00,USA,PeakPulse 3.0,iOS,4.1.5,45-54,Non-binary,Podcast Sponsor,True,2023-06-29 00:00:00,True,True
u000078,2023-03-30 00:00:00,France,PeakPulse 3.0,iOS,4.1.5,45-54,Female,Podcast Sponsor,False,2023-06-27 00:00:00,True,True
u000079,2023-03-20 00:00:00,France,PeakPulse 3.0,iOS,4.2.1,25-34,Male,Direct Website,True,2023-06-23 00:00:00,True,True
u000080,2023-03-24 00:00:00,Australia,PeakPulse 3.0,iOS,4.2.0,25-34,Male,Podcast Sponsor,True,2023-06-27 00:00:00,True,True
u000081,2023-01-16 00:00:00,India,PeakPulse 3.0,iOS,4.1.5,25-34,Female,Organic Search,True,2023-06-23 00:00:00,True,True
u000082,2023-03-16 00:00:00,UK,PeakPulse 3.0,Android,4.1.9,18-24,Male,Podcast Sponsor,True,2023-04-04 00:00:00,True,False
u000083,2023-02-08 00:00:00,Germany,PeakPulse 3.0,iOS,4.1.5,55-64,Female,Organic Search,False,2023-06-28 00:00:00,True,True
u000084,2023-02-03 00:00:00,Canada,PeakPulse 3.0,iOS,4.1.9,65+,Male,Facebook Ad,True,2023-06-26 00:00:00,True,True
u000085,2023-02-24 00:00:00,USA,PeakPulse 3.0,Android,4.2.0,55-64,Female,Instagram Ad,True,2023-06-29 00:00:00,True,True
u000086,2023-05-25 00:00:00,USA,PeakPulse 3.0,iOS,4.1.9,25-34,Male,Direct Website,True,2023-06-30 00:00:00,True,True
u000087,2023-03-07 00:00:00,Germany,PeakPulse 3.0,Android,4.2.1,35-44,Male,YouTube Ad,True,2023-06-23 00:00:00,True,True
u000088,2023-03-13 00:00:00,Australia,PeakPulse 3.0,iOS,4.1.9,55-64,Female,Podcast Sponsor,True,2023-06-23 00:00:00,True,True
u000089,2023-03-31 00:00:00,USA,PeakPulse 3.0,iOS,4.2.1,25-34,Female,Instagram Ad,True,2023-06-24 00:00:00,True,True
u000090,2023-01-02 00:00:00,USA,PeakPulse 3.0,Android,4.1.9,25-34,Male,Referral,True,2023-04-05 00:00:00,True,False
u000091,2023-02-28 00:00:00,USA,PeakPulse 3.0,iOS,4.2.1,45-54,Female,Facebook Ad,True,2023-06-27 00:00:00,True,True
u000092,2023-01-09 00:00:00,Brazil,PeakPulse 3.0,iOS,4.1.9,25-34,Male,Direct Website,True,2023-06-29 00:00:00,True,True
u000093,2023-03-14 00:00:00,Brazil,PeakPulse 3.0,iOS,4.1.5,55-64,Female,Organic Search,True,2023-06-28 00:00:00,True,True
u000094,2023-02-07 00:00:00,Canada,PeakPulse 3.0,Android,4.1.9,55-64,Male,Facebook Ad,True,2023-04-20 00:00:00,False,False
u000095,2023-03-11 00:00:00,Canada,PeakPulse 3.0,Android,4.2.1,25-34,Male,Direct Website,True,2023-04-27 00:00:00,True,False
u000096,2023-02-28 00:00:00,UK,PeakPulse 3.0,iOS,4.1.5,35-44,Female,Instagram Ad,True,2023-06-27 00:00:00,True,True
u000097,2023-02-26 00:00:00,Japan,PeakPulse 3.0,Android,4.1.5,18-24,Male,Instagram Ad,True,2023-04-01 00:00:00,True,False
u000098,2023-01-10 00:00:00,Canada,PeakPulse 3.0,iOS,4.2.0,25-34,Male,YouTube Ad,False,2023-04-28 00:00:00,True,False
u000099,2023-05-13 00:00:00,Brazil,PeakPulse 3.0,Android,4.2.0,18-24,Male,YouTube Ad,True,2023-06-24 00:00:00,True,True
u000100,2023-04-12 00:00:00,Germany,PeakPulse 3.0,Android,4.2.1,18-24,Male,Referral,True,2023-06-23 00:00:00,False,True
u000101,2023-01-07 00:00:00,Germany,PeakPulse 3.0,Android,4.1.9,55-64,Male,Referral,True,2023-04-29 00:00:00,True,False
u000102,2023-03-02 00:00:00,USA,PeakPulse 3.0,Android,4.1.9,25-34,Female,Instagram Ad,True,2023-06-25 00:00:00,True,True
u000103,2023-02-08 00:00:00,USA,PeakPulse 3.0,Android,4.2.1,35-44,Male,Facebook Ad,True,2023-06-24 00:00:00,True,True
u000104,2023-02-03 00:00:00,Australia,PeakPulse 3.0,Android,4.2.0,18-24,Male,YouTube Ad,False,2023-06-03 00:00:00,True,False
u000105,2023-03-18 00:00:00,Japan,PeakPulse 3.0,iOS,4.2.1,35-44,Female,Facebook Ad,True,2023-06-26 00:00:00,True,True
u000106,2023-01-27 00:00:00,France,PeakPulse 3.0,iOS,4.2.1,45-54,Male,YouTube Ad,True,2023-06-23 00:00:00,True,True
u000107,2023-01-20 00:00:00,USA,PeakPulse 3.0,iOS,4.1.9,25-34,Male,Direct Website,True,2023-06-06 00:00:00,True,False
u000108,2023-03-10 00:00:00,UK,PeakPulse 3.0,Android,4.1.5,25-34,Male,Instagram Ad,True,2023-06-12 00:00:00,True,False
u000109,2023-02-01 00:00:00,France,PeakPulse 3.0,iOS,4.1.9,25-34,Female,Podcast Sponsor,True,2023-06-26 00:00:00,True,True
u000110,2023-03-10 00:00:00,Japan,PeakPulse 3.0,iOS,4.2.1,35-44,Female,Organic Search,True,2023-06-29 00:00:00,True,True
u000111,2023-03-09 00:00:00,UK,PeakPulse 3.0,Android,4.2.0,45-54,Female,Podcast Sponsor,False,2023-06-25 00:00:00,True,True
u000112,2023-02-07 00:00:00,UK,PeakPulse 3.0,Android,4.2.0,25-34,Male,Organic Search,True,2023-06-24 00:00:00,True,True
u000113,2023-02-21 00:00:00,Canada,PeakPulse 3.0,Android,4.2.1,45-54,Male,Organic Search,True,2023-06-27 00:00:00,True,True
u000114,2023-02-11 00:00:00,Germany,PeakPulse 3.0,iOS,4.2.1,18-24,Female,Instagram Ad,True,2023-06-30 00:00:00,True,True
u000115,2023-01-31 00:00:00,USA,PeakPulse 3.0,Android,4.2.1,65+,Female,YouTube Ad,True,2023-04-15 00:00:00,True,False
u000116,2023-02-12 00:00:00,UK,PeakPulse 3.0,iOS,4.1.9,18-24,Male,Organic Search,False,2023-06-26 00:00:00,True,True
u000117,2023-02-08 00:00:00,USA,PeakPulse 3.0,iOS,4.1.5,35-44,Male,Direct Website,False,2023-05-09 00:00:00,True,False
u000118,2023-02-04 00:00:00,Canada,PeakPulse 3.0,Android,4.2.1,55-64,Female,Facebook Ad,False,2023-05-28 00:00:00,True,False
u000119,2023-02-14 00:00:00,USA,PeakPulse 3.0,iOS,4.1.5,25-34,Male,Referral,True,2023-06-28 00:00:00,True,True
u000120,2023-02-06 00:00:00,Canada,PeakPulse 3.0,iOS,4.2.0,45-54,Male,Instagram Ad,True,2023-06-28 00:00:00,True,True
u000121,2023-03-01 00:00:00,USA,PeakPulse 3.0,Android,4.2.1,25-34,Female,Referral,True,2023-06-27 00:00:00,False,True
u000122,2023-03-22 00:00:00,USA,PeakPulse 3.0,iOS,4.2.1,25-34,Female,Direct Website,True,2023-06-16 00:00:00,True,False
u000123,2023-02-05 00:00:00,Brazil,PeakPulse 3.0,iOS,4.1.9,25-34,Female,Instagram Ad,True,2023-05-13 00:00:00,True,False
u000124,2023-02-01 00:00:00,Canada,PeakPulse 3.0,Android,4.2.0,35-44,Male,Facebook Ad,True,2023-04-17 00:00:00,True,False
u000125,2023-03-14 00:00:00,Japan,PeakPulse 3.0,Android,4.2.0,35-44,Male,Instagram Ad,True,2023-04-14 00:00:00,True,False
u000126,2023-02-25 00:00:00,Canada,PeakPulse 3.0,iOS,4.1.9,18-24,Female,Podcast Sponsor,True,2023-06-29 00:00:00,True,True
u000127,2023-01-26 00:00:00,USA,PeakPulse 3.0,iOS,4.1.9,18-24,Female,Direct Website,False,2023-06-29 00:00:00,True,True
u000128,2023-03-14 00:00:00,UK,PeakPulse 3.0,Android,4.1.5,25-34,Female,Instagram Ad,True,2023-06-25 00:00:00,True,True
u000129,2023-04-14 00:00:00,Canada,PeakPulse 3.0,iOS,4.2.0,35-44,Female,Podcast Sponsor,True,2023-06-26 00:00:00,True,True
u000130,2023-02-20 00:00:00,USA,PeakPulse 3.0,iOS,4.2.0,45-54,Female,Facebook Ad,False,2023-06-25 00:00:00,True,True
u000131,2023-01-28 00:00:00,Brazil,PeakPulse 3.0,iOS,4.2.1,55-64,Male,YouTube Ad,True,2023-04-02 00:00:00,True,False
u000132,2023-04-28 00:00:00,USA,PeakPulse 3.0,iOS,4.1.5,45-54,Male,Referral,True,2023-06-25 00:00:00,True,True
u000133,2023-02-15 00:00:00,Japan,PeakPulse 3.0,iOS,4.1.9,18-24,Male,YouTube Ad,True,2023-06-12 00:00:00,True,False
u000134,2023-02-21 00:00:00,USA,PeakPulse 3.0,Android,4.2.0,35-44,Female,Organic Search,True,2023-04-12 00:00:00,True,False
u000135,2023-01-26 00:00:00,USA,PeakPulse 3.0,Android,4.1.5,35-44,Female,Instagram Ad,True,2023-05-01 00:00:00,True,False
u000136,2023-01-26 00:00:00,UK,PeakPulse 3.0,iOS,4.1.9,45-54,Male,Instagram Ad,False,2023-06-26 00:00:00,True,True
u000137,2023-02-26 00:00:00,USA,PeakPulse 3.0,iOS,4.2.1,35-44,Female,Direct Website,True,2023-06-30 00:00:00,True,True
u000138,2023-01-30 00:00:00,USA,PeakPulse 3.0,iOS,4.2.1,35-44,Female,YouTube Ad,False,2023-05-09 00:00:00,True,False
u000139,2023-02-17 00:00:00,USA,PeakPulse 3.0,iOS,4.2.0,25-34,Female,Instagram Ad,True,2023-06-30 00:00:00,True,True
u000140,2023-03-15 00:00:00,USA,PeakPulse 3.0,Android,4.2.0,18-24,Male,Direct Website,True,2023-06-24 00:00:00,True,True
u000141,2023-02-13 00:00:00,UK,PeakPulse 3.0,Android,4.1.5,35-44,Female,Organic Search,True,2023-06-29 00:00:00,True,True
u000142,2023-04-18 00:00:00,Australia,PeakPulse 3.0,Android,4.1.5,25-34,Female,Facebook Ad,True,2023-06-28 00:00:00,True,True
u000143,2023-02-20 00:00:00,USA,PeakPulse 3.0,Android,4.1.9,55-64,Female,Podcast Sponsor,True,2023-04-10 00:00:00,True,False
u000144,2023-02-20 00:00:00,USA,PeakPulse 3.0,Android,4.2.1,45-54,Female,Facebook Ad,True,2023-06-28 00:00:00,True,True
u000145,2023-02-28 00:00:00,Australia,PeakPulse 3.0,iOS,4.1.9,35-44,Female,Direct Website,True,2023-06-23 00:00:00,True,True
u000146,2023-03-31 00:00:00,USA,PeakPulse 3.0,Android,4.1.5,25-34,Female,Facebook Ad,True,2023-06-30 00:00:00,True,True
u000147,2023-03-09 00:00:00,Canada,PeakPulse 3.0,iOS,4.1.9,35-44,Male,Direct Website,True,2023-06-29 00:00:00,True,True
u000148,2023-03-12 00:00:00,Canada,PeakPulse 3.0,iOS,4.2.1,55-64,Female,Facebook Ad,True,2023-06-26 00:00:00,True,True
u000149,2023-03-15 00:00:00,USA,PeakPulse 3.0,iOS,4.1.9,25-34,Male,Organic Search,True,2023-06-26 00:00:00,True,True
u000150,2023-04-28 00:00:00,Canada,PeakPulse 3.0,Android,4.2.0,45-54,Female,Referral,True,2023-06-25 00:00:00,True,True
u000151,2023-02-24 00:00:00,Germany,PeakPulse 3.0,Android,4.1.9,35-44,Male,Referral,True,2023-06-25 00:00:00,True,True
u000152,2023-03-20 00:00:00,Canada,PeakPulse 3.0,Android,4.2.0,25-34,Female,Organic Search,True,2023-06-24 00:00:00,False,True
u000153,2023-02-12 00:00:00,Canada,PeakPulse 3.0,iOS,4.1.5,25-34,Female,YouTube Ad,False,2023-06-28 00:00:00,True,True
u000154,2023-03-22 00:00:00,USA,PeakPulse 3.0,iOS,4.2.1,35-44,Female,Facebook Ad,True,2023-06-25 00:00:00,True,True
u000155,2023-03-23 00:00:00,Germany,PeakPulse 3.0,iOS,4.1.9,25-34,Male,Instagram Ad,True,2023-06-28 00:00:00,False,True
u000156,2023-01-31 00:00:00,USA,PeakPulse 3.0,iOS,4.1.9,25-34,Female,Podcast Sponsor,True,2023-06-27 00:00:00,True,True
u000157,2023-02-25 00:00:00,USA,PeakPulse 3.0,Android,4.2.0,35-44,Male,Podcast Sponsor,True,2023-04-25 00:00:00,True,False
u000158,2023-03-15 00:00:00,USA,PeakPulse 3.0,iOS,4.1.5,35-44,Female,Organic Search,False,2023-06-26 00:00:00,True,True
u000159,2023-02-02 00:00:00,UK,PeakPulse 3.0,iOS,4.2.0,18-24,Male,Referral,True,2023-06-29 00:00:00,True,True
u000160,2023-03-04 00:00:00,India,PeakPulse 3.0,Android,4.1.9,18-24,Male,Instagram Ad,True,2023-06-30 00:00:00,True,True
u000161,2023-03-13 00:00:00,USA,PeakPulse 3.0,Android,4.2.1,25-34,Male,Facebook Ad,True,2023-06-29 00:00:00,True,True
u000162,2023-01-28 00:00:00,USA,PeakPulse 3.0,iOS,4.2.1,35-44,Male,Direct Website,True,2023-04-27 00:00:00,True,False
u000163,2023-01-13 00:00:00,USA,PeakPulse 3.0,iOS,4.1.9,25-34,Female,Referral,False,2023-04-30 00:00:00,True,False
u000164,2023-02-08 00:00:00,USA,PeakPulse 3.0,iOS,4.2.0,55-64,Female,Facebook Ad,True,2023-06-29 00:00:00,True,True
u000165,2023-02-20 00:00:00,USA,PeakPulse 3.0,iOS,4.1.5,35-44,Male,YouTube Ad,True,2023-06-30 00:00:00,True,True
u000166,2023-03-17 00:00:00,USA,PeakPulse 3.0,Android,4.1.9,25-34,Male,Instagram Ad,True,2023-06-30 00:00:00,True,True
u000167,2023-03-21 00:00:00,USA,PeakPulse 3.0,Android,4.1.5,25-34,Female,Referral,True,2023-05-10 00:00:00,True,False
u000168,2023-01-14 00:00:00,Brazil,PeakPulse 3.0,iOS,4.2.1,25-34,Male,Referral,True,2023-06-25 00:00:00,True,True
u000169,2023-03-11 00:00:00,USA,PeakPulse 3.0,Android,4.1.9,25-34,Male,Direct Website,True,2023-06-15 00:00:00,True,False
u000170,2023-01-07 00:00:00,Canada,PeakPulse 3.0,iOS,4.1.5,35-44,Male,Facebook Ad,True,2023-06-26 00:00:00,True,True
u000171,2023-02-12 00:00:00,Canada,PeakPulse 3.0,iOS,4.1.5,25-34,Female,Facebook Ad,True,2023-06-30 00:00:00,True,True
u000172,2023-01-11 00:00:00,USA,PeakPulse 3.0,iOS,4.2.1,18-24,Female,Instagram Ad,True,2023-05-05 00:00:00,True,False
u000173,2023-02-21 00:00:00,UK,PeakPulse 3.0,iOS,4.1.5,45-54,Non-binary,Instagram Ad,False,2023-06-24 00:00:00,True,True
u000174,2023-04-10 00:00:00,USA,PeakPulse 3.0,Android,4.2.1,25-34,Male,Facebook Ad,True,2023-06-26 00:00:00,True,True
u000175,2023-01-27 00:00:00,UK,PeakPulse 3.0,iOS,4.2.1,45-54,Male,Direct Website,True,2023-04-06 00:00:00,True,False
u000176,2023-01-19 00:00:00,Germany,PeakPulse 3.0,iOS,4.1.9,25-34,Female,Referral,False,2023-06-20 00:00:00,True,False
u000177,2023-01-18 00:00:00,USA,PeakPulse 3.0,Android,4.2.1,18-24,Male,Organic Search,False,2023-04-07 00:00:00,True,False
u000178,2023-03-14 00:00:00,USA,PeakPulse 3.0,Android,4.1.9,35-44,Female,YouTube Ad,True,2023-06-25 00:00:00,True,True
u000179,2023-01-20 00:00:00,UK,PeakPulse 3.0,Android,4.2.0,45-54,Female,Podcast Sponsor,True,2023-05-21 00:00:00,True,False
u000180,2023-01-23 00:00:00,Australia,PeakPulse 3.0,iOS,4.1.9,35-44,Male,YouTube Ad,True,2023-06-28 00:00:00,True,True
u000181,2023-01-10 00:00:00,France,PeakPulse 3.0,iOS,4.2.1,25-34,Male,Podcast Sponsor,True,2023-06-29 00:00:00,True,True
u000182,2023-01-28 00:00:00,France,PeakPulse 3.0,Android,4.2.1,45-54,Female,Referral,True,2023-06-25 00:00:00,True,True
u000183,2023-01-26 00:00:00,USA,PeakPulse 3.0,iOS,4.2.0,18-24,Male,Instagram Ad,False,2023-04-14 00:00:00,True,False
u000184,2023-01-11 00:00:00,USA,PeakPulse 3.0,iOS,4.2.0,35-44,Male,Instagram Ad,True,2023-06-24 00:00:00,True,True
u000185,2023-02-25 00:00:00,USA,PeakPulse 3.0,iOS,4.1.9,35-44,Female,YouTube Ad,True,2023-04-03 00:00:00,True,False
u000186,2023-01-12 00:00:00,Canada,PeakPulse 3.0,Android,4.2.0,35-44,Female,Instagram Ad,False,2023-06-26 00:00:00,True,True
u000187,2023-02-07 00:00:00,USA,PeakPulse 3.0,Android,4.2.0,18-24,Female,Referral,False,2023-05-22 00:00:00,True,False
